Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Crenichthys baileyi,3167,White River springfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Goodeidae,Crenichthys,Freshwater,Nonnative,Established,,Conservation,EN,,,1,1,,,Micropterus salmoides (Predation); Cichlasoma nigrofasciatum (Unclear); Poecilia latipinna (Unclear); Gambusia affinis (Unclear); Poecilia reticulata (Competition); Amatitlania nigrofasciata (Unclear); Gambusia affinis (Unclear); Poecilia mexicana (Unclear); Poecilia sphenops (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,17,,,,,2,,,,,,,,20,30,10,,,,USGS-NAS; FishBase; IUCN
Ctenolucius hujeta,12407,Gar characin,1,Animalia,Chordata,Actinopterygii,Characiformes,Ctenoluciidae,Ctenolucius,Freshwater,Nonnative,Failed,,Aquaria,,,,,,1,,,dioecism,,nonguarders,open water/substratum egg scatterers,,2000,1000,3000,,,,,,4.2,predator,,,,,,,,,,,,USGS-NAS; FishBase
Cyprinella lutrensis,2876,Red shiner,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,Freshwater,Nonnative,Invasive,,Aquaria; Fish farms; Fishing recreation,LC,,,1,1,,Xyrauchen texanus (Predation); Ptychocheilus lucius (Predation); Meda fulgida (Predation; Disease/Parasitism); Plagopterus argentissimus (Predation; Disease/Parasitism); Gila seminuda (Predation); Cyprinella venusta (Hybridisation); Meda fulgida (Predation; Disease/Parasitism); Xyrauchen texanus (Predation); Gila seminuda (Predation); Plagopterus argentissimus (Predation; Disease/Parasitism),Gila seminuda (Unclear); Meda fulgida (Unclear),dioecism,external,nonguarders,,,,,684,585,1.5,,,,2.82,,,,3,,,15,25,10,-21,39.5,60.5,CABI-ISC; FishBase; IUCN
Cyprinodon diabolis,3170,Devils Hole pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Failed,,Conservation,CR,,,1,1,,,,dioecism,external,nonguarders,,,,,,,,,,2.9,,,,,,,,,,,,,,USGS-NAS; FishBase; IUCN
Cyprinodon eremus,59732,Sonoyta pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Reported,,,EN,,,1,1,,,Gambusia affinis (Unclear); Ameiurus melas (Predation),dioecism,external,nonguarders,,,,,,,,,,2.7,,,,3,,,,,,,,,,USGS-NAS; FishBase; IUCN
Cyprinodon nevadensis,3175,Amargosa pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Failed,,Conservation; Fishing recreation,VU,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.1,,browser,,,,,,18,32,14,,,,USGS-NAS; FishBase; IUCN
Cyprinodon radiosus,3177,Owens pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Invasive,,Fishing recreation; Passive,EN,,,1,1,,Micropterus salmoides (Predation; Competition); Salmo trutta (Predation); Gambusia affinis (Competition),Micropterus salmoides (Predation); Puntigrus tetrazona (Unclear); Gambusia affinis (Unclear),dioecism,external,nonguarders,,,,,,,,,,2.7,,,,,,,,22,30,8,,,,IUCN; USGS-NAS; CABI ISC; Fishbase
Cyprinodon rubrofluviatilis,3178,Red River pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Established,,Fishing recreation,LC,,,1,,,,,dioecism,external,nonguarders,,,,,,,,,,2.6,,,,,,,,10,30,20,-1,39,40,IUCN; USGS-NAS; Fishbase
Cyprinodon salinus,3179,Salt Creek pupfish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Failed,,Conservation; Scientific research,EN,,,1,1,,,,dioecism,external,nonguarders,,,,,,,,,,2.5,,,,,,,,15,30,15,0,40,40,IUCN; USGS-NAS; Fishbase
Cyprinodon variegatus,3181,Sheepshead minnow,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Nonnative,Invasive,0,Fishing recreation; Passive; Accidental with ships,LC,,,1,1,1,Cyprinodon elegans (Hybridisation); Cyrpinodon pecosensis (Hybridisation); Cyprinodon bovinus (Hybridisation) ,Belonesox belizanus (Predation),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,111,,,,2.4,,,,,,,7.599999905,15.4,27.7,12.3,,,,IUCN; USGS-NAS; Fishbase
